M,N,K,tensor_iters,repeat_index,time_ms,avg_over_repeats
128,128,128,1000,0,111.278,111.278
240,240,240,1000,0,145.468,145.468
256,256,256,1000,0,135.978,135.978
512,512,512,1000,0,303.46,303.46
2048,2048,2048,1000,0,12535.331,12535.331
