M,N,K,tensor_iters,repeat_index,time_ms,avg_over_repeats
128,128,128,1000,0,107.716,107.716
240,240,240,1000,0,144.481,144.481
256,256,256,1000,0,128.193,128.193
512,512,512,1000,0,306.69,306.69
2048,2048,2048,1000,0,12516.064,12516.064
