Nvec,iters,tensor_iters,M,N,K,Repeats,cuda_ms,tensor_ms,serialized_ms,concurrent_ms
65536,1500000,1000,256,256,256,3,42.801,3.738,46.539,44.819
65536,1500000,1000,512,512,512,3,42.802,22.79,65.592,67.593
65536,1500000,1000,1024,1024,1024,3,42.795,176.899,219.69400000000002,213.87
65536,1500000,1000,2048,2048,2048,3,42.895,1372.885,1415.78,1533.715
131072,1500000,1000,16,16,16,3,73.574,0.174,73.748,73.499
131072,1500000,1000,32,32,32,3,73.611,0.313,73.924,73.526
131072,1500000,1000,64,64,64,3,73.385,0.741,74.126,73.484
131072,1500000,1000,128,128,128,3,73.516,1.391,74.90700000000001,73.427
131072,1500000,1000,256,256,256,3,73.584,3.735,77.319,74.744
131072,1500000,1000,512,512,512,3,73.569,22.772,96.34100000000001,98.182
131072,1500000,1000,1024,1024,1024,3,73.541,177.177,250.718,254.933
131072,1500000,1000,2048,2048,2048,3,73.471,1373.115,1446.586,1590.886
262144,1500000,1000,16,16,16,3,134.406,0.174,134.58,134.459
262144,1500000,1000,32,32,32,3,134.465,0.311,134.776,134.442
262144,1500000,1000,64,64,64,3,134.445,0.742,135.18699999999998,134.486
262144,1500000,1000,128,128,128,3,134.42,1.392,135.81199999999998,138.223
262144,1500000,1000,256,256,256,3,134.431,3.744,138.175,145.538
262144,1500000,1000,512,512,512,3,134.415,22.815,157.23,159.277
262144,1500000,1000,1024,1024,1024,3,134.407,177.285,311.692,325.447
262144,1500000,1000,2048,2048,2048,3,134.337,1373.083,1507.42,1610.072
524288,1500000,1000,16,16,16,3,266.255,0.183,266.438,266.392
524288,1500000,1000,32,32,32,3,266.267,0.314,266.581,266.375
524288,1500000,1000,64,64,64,3,266.091,0.738,266.829,266.338
524288,1500000,1000,128,128,128,3,266.13,1.393,267.52299999999997,266.348
524288,1500000,1000,256,256,256,3,266.071,3.727,269.798,274.286
524288,1500000,1000,512,512,512,3,266.187,22.818,289.005,291.069
524288,1500000,1000,1024,1024,1024,3,266.245,177.515,443.76,456.394
524288,1500000,1000,2048,2048,2048,3,266.303,1372.574,1638.877,1800.255
1048576,1500000,1000,16,16,16,3,529.909,0.227,530.136,529.664
1048576,1500000,1000,32,32,32,3,529.615,0.323,529.938,529.638
1048576,1500000,1000,64,64,64,3,529.728,0.753,530.481,529.765
1048576,1500000,1000,128,128,128,3,529.583,1.4,530.983,529.688
1048576,1500000,1000,256,256,256,3,529.744,3.733,533.477,531.275
1048576,1500000,1000,512,512,512,3,529.514,22.823,552.337,554.217
1048576,1500000,1000,1024,1024,1024,3,529.674,176.648,706.322,701.668
1048576,1500000,1000,2048,2048,2048,3,529.521,1371.866,1901.387,2050.864
